dwm.exe

Context

Frames per second

Time	FPS	
127507270	263867
127673940	244662
127840604	267423
128007353	260051
128177314	275200
128340066	249879
128507098	212476
128673714	281859
128840155	246661
129006825	192330
129173471	212821
129506244	418771
129673155	260806
129839379	215924
130006176	199780
130173106	232503
130339359	204960
130505945	196260
130839219	460483
131339127	606451
131838799	605104
132172212	445148
132338906	280971
132672066	454603
132838778	263734
133005358	296361
133171968	287957
133338529	288174
133505223	287727
133671845	286139
133838497	286954
134005083	271698
134171584	270122
134338417	284461
134671667	430718
135004820	430000
135171430	247729
135338064	243153
135504650	261090
135671507	221025
135837942	257661
136004600	234048
136171216	247029
136337977	210503
136504454	238257
136837637	409907
137005352	211728
137172481	208075
137338288	276589
137670994	454313
137837978	287969
138003990	248622
138171089	215531
138337325	222414
138503910	224116
138670677	291169
138837202	285789
139003830	282064
139170422	286858
139337014	298867
139503696	293499
139670251	293203
139837006	293040
140003562	294532
140170177	283253
140336938	289967
140503494	296675
140670067	281967
140836713	287274
141003534	283295
141169969	290643
141336579	281412
141503116	285952
141669780	291295
141836457	283713
142003006	295425
142169749	288929
142336377	291326
142502938	293390
142669874	293578
142836116	299833
143002574	287642
143169251	294514
143336005	289683
143502344	304850
143669593	300539
143835805	286007
144002565	293589
144169248	288030
144335743	295540
144502184	296174
144668655	298022
144835910	300062
145001935	303643
145168575	295800
145335516	304831
145502138	298558
145668664	299610
145835243	299760
146001925	295570
146168493	292865
146335115	298909
146501737	303214
146668347	295510
146834854	308207
147001651	292165
147168351	306292
147335160	305091
147502338	308539
147668368	306395
147835219	301746
148001467	306100
148168131	297152
148334813	292479
148501930	293463
148667676	305948
148835125	303630
149001826	308146
149168230	306437
149334261	310948


