     eType,  uiId,     Hits,  TotalTime,                                   GUID, Name
 Dxgkernel,  3030,        0,          0, {9792224B-86A9-4E2A-8ACA-2FB616FF6B3E}, DxgkCddDrvStretchBlt
 Dxgkernel,  3031,        0,          0, {9792224B-86A9-4E2A-8ACA-2FB616FF6B3E}, DxgkCddDrvTextOut
 Dxgkernel,  3032,        0,          0, {9792224B-86A9-4E2A-8ACA-2FB616FF6B3E}, DxgkCddDrvGradientFill
 Dxgkernel,  3033,        0,          0, {9792224B-86A9-4E2A-8ACA-2FB616FF6B3E}, DxgkCddDrvTransparentBlt
 Dxgkernel,  3034,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddOpenResource
 Dxgkernel,  3035,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddQueryResourceInfo
 Dxgkernel,  3036,      155,      40567, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddSubmitPresentHistory
 Dxgkernel,  3037,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddCreateDeviceBitmap
 Dxgkernel,  3038,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddUpdateGdiMem
 Dxgkernel,  3039,        0,          0, {9792224B-86A9-4E2A-8ACA-2FB616FF6B3E}, DxgkCddAddCommand
 Dxgkernel,  3040,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddEnableLite
 Dxgkernel,  3041,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddAssertModeInternal
 Dxgkernel,  3042,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddSetLiteModeChange
 Dxgkernel,  3043,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddPresentDisplayOnly
 Dxgkernel,  3044,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddSignalGdiContext
 Dxgkernel,  3045,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddWaitGdiContext
 Dxgkernel,  3046,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddSignalDxContext
 Dxgkernel,  3047,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddWaitDxContext
 Dxgkernel,  3048,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddStartDxInterop
 Dxgkernel,  3049,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddEndDxInterop
 Dxgkernel,  3050,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddAddD3DDirtyRect
 Dxgkernel,  3051,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddDxGdiInteropFailed
 Dxgkernel,  3052,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddSyncDxAccess
 Dxgkernel,  3053,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddFlushCpuCache
 Dxgkernel,  3054,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddLockMdlPages
 Dxgkernel,  3055,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddOpenResourceFromNtHandle
 Dxgkernel,  3056,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddQueryResourceInfoFromNtHandle
 Dxgkernel,  3057,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddUnlockMdlPages
 Dxgkernel,  3058,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkCddTrimStagingSize
 Dxgkernel,  4000,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DpiDxgkDdiAddDevice
 Dxgkernel,  4001,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DpiDxgkDdiStartDevice
 Dxgkernel,  4002,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DpiDxgkDdiStopDevice
 Dxgkernel,  4003,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DpiDxgkDdiRemoveDevice
 Dxgkernel,  4004,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DpiDxgkDdiDispatchIoRequest
 Dxgkernel,  4005,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DpiDxgkDdiQueryChildRelations
 Dxgkernel,  4006,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DpiDxgkDdiQueryChildStatus
 Dxgkernel,  4007,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DpiDxgkDdiQueryDeviceDescriptor
 Dxgkernel,  4008,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DpiDxgkDdiSetPowerState
 Dxgkernel,  4009,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DpiDxgkDdiNotifyAcpiEvent
 Dxgkernel,  4010,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DpiDxgkDdiUnload
